experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Shelves,\benchmarking\MiddEval\MiddEval3\trainingQ\Shelves\disp0bm_10_1x5.png,,738x497,None,1x5,None,FALSE,1949992.475,112.573364,5.927659403,6085.449588,0.590059733,0.446941164,0.348626754,0.245062545,70.84711337
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Teddy,\benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0bm_10_1x5.png,,450x375,None,1x5,None,FALSE,810125.25,133.6813001,4.915450635,4693.855818,0.319102978,0.215008616,0.179804869,0.159284518,40.23890376
bm_10_1x5,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Vintage,\benchmarking\MiddEval\MiddEval3\trainingQ\Vintage\disp0bm_10_1x5.png,,722x480,None,1x5,None,FALSE,4195940.413,735.5168962,12.40525313,15772.77716,0.625247236,0.477543985,0.348268532,0.25531355,68.6006124
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Adirondack,\benchmarking\MiddEval\MiddEval3\trainingQ\Adirondack\disp0bm_10_1x7.png,,718x496,None,1x7,None,FALSE,3591779.771,353.6881943,10.12002708,11204.03082,0.598377653,0.500766374,0.412636158,0.352148947,68.35520697
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,ArtL,\benchmarking\MiddEval\MiddEval3\trainingQ\ArtL\disp0bm_10_1x7.png,,347x277,None,1x7,None,FALSE,3047320.75,1557.029674,31.75979687,12222.74274,0.943219836,0.933412542,0.918498369,0.899060959,29.12063956
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Jadeplant,\benchmarking\MiddEval\MiddEval3\trainingQ\Jadeplant\disp0bm_10_1x7.png,,659x497,None,1x7,None,FALSE,8521276.931,2042.393861,26.38435794,25683.18162,0.653227729,0.577111593,0.519752792,0.476373747,60.55607915
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,MotorcycleE,\benchmarking\MiddEval\MiddEval3\trainingQ\MotorcycleE\disp0bm_10_1x7.png,,741x497,None,1x7,None,FALSE,15561768.31,3044.014928,43.15604659,33130.80855,0.997809164,0.995870691,0.99282016,0.985554351,63.08232522
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Motorcycle,\benchmarking\MiddEval\MiddEval3\trainingQ\Motorcycle\disp0bm_10_1x7.png,,741x497,None,1x7,None,FALSE,2897980.504,300.94519,8.036707602,10417.23231,0.362555568,0.294847654,0.267756168,0.246751878,63.29673672
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PianoL,\benchmarking\MiddEval\MiddEval3\trainingQ\PianoL\disp0bm_10_1x7.png,,707x481,None,1x7,None,FALSE,9054353.181,1496.807926,28.1318647,21948.88649,0.933311377,0.90786195,0.868219752,0.819803389,59.05857682
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Piano,\benchmarking\MiddEval\MiddEval3\trainingQ\Piano\disp0bm_10_1x7.png,,707x481,None,1x7,None,FALSE,1651776.071,113.2465822,5.132066312,6037.289579,0.496746972,0.387150696,0.279657857,0.180168648,57.69325709
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Pipes,\benchmarking\MiddEval\MiddEval3\trainingQ\Pipes\disp0bm_10_1x7.png,,735x485,None,1x7,None,FALSE,3515535.886,352.3714903,10.22189882,11008.55611,0.497816365,0.417411506,0.367237339,0.319203191,59.99157476
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playroom,\benchmarking\MiddEval\MiddEval3\trainingQ\Playroom\disp0bm_10_1x7.png,,699x476,None,1x7,None,FALSE,5331407.974,775.7408717,16.939732,15625.21594,0.715328792,0.603362268,0.505782771,0.439659007,56.18925619
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,PlaytableP,\benchmarking\MiddEval\MiddEval3\trainingQ\PlaytableP\disp0bm_10_1x7.png,,681x462,None,1x7,None,FALSE,1814780.253,159.7798745,5.927671216,6994.086624,0.445997766,0.348063393,0.282269707,0.18508659,53.61061645
bm_10_1x7,10,-20,-1,components.matchers.NumbaPatchMatcher,maclean_et_al,Middlebury_2014,Playtable,\benchmarking\MiddEval\MiddEval3\trainingQ\Playtable\disp0bm_10_1x7.png,,680x463,None,1x7,None,FALSE,2050008.187,175.6093016,6.690736427,7335.244506,0.523814031,0.417288141,0.34307022,0.224034335,55.24227571
